variant,rescans,rep,rss_start_kb,rss_peak_kb,rss_end_kb,peak_growth_kb,end_growth_kb,execution_time_ms,plan_uses_ivfflat,observed_index_loops,query_exit_code
full_patch,10000,1,8428,18240,18240,9812,9812,348.387,true,10000,0
full_patch,10000,2,8428,18236,18236,9808,9808,391.738,true,10000,0
full_patch,10000,3,8428,18208,18208,9780,9780,432.388,true,10000,0
full_patch,10000,4,8424,18232,18232,9808,9808,387.716,true,10000,0
full_patch,10000,5,8428,18236,18236,9808,9808,321.870,true,10000,0
full_patch,1000,1,8424,12916,12916,4492,4492,41.463,true,1000,0
full_patch,1000,2,8424,12888,12888,4464,4464,40.373,true,1000,0
full_patch,1000,3,8428,12936,12936,4508,4508,34.755,true,1000,0
full_patch,1000,4,8424,12916,12916,4492,4492,37.100,true,1000,0
full_patch,1000,5,8424,12920,12920,4496,4496,42.393,true,1000,0
full_patch,50000,1,8428,42020,42020,33592,33592,2233.468,true,50000,0
full_patch,50000,2,8428,41752,41752,33324,33324,2480.501,true,50000,0
full_patch,50000,3,8428,42008,42008,33580,33580,1878.267,true,50000,0
full_patch,50000,4,8428,41972,41972,33544,33544,2021.211,true,50000,0
full_patch,50000,5,8428,41996,41996,33568,33568,1904.062,true,50000,0
no_value_cleanup,10000,1,8428,28248,18468,19820,10040,355.412,true,10000,0
no_value_cleanup,10000,2,8428,27204,18596,18776,10168,412.003,true,10000,0
no_value_cleanup,10000,3,8428,27196,18464,18768,10036,356.882,true,10000,0
no_value_cleanup,10000,4,8424,27456,18468,19032,10044,468.223,true,10000,0
no_value_cleanup,10000,5,8424,26932,18472,18508,10048,428.087,true,10000,0
no_value_cleanup,1000,1,8428,13272,13188,4844,4760,50.415,true,1000,0
no_value_cleanup,1000,2,8424,13428,13076,5004,4652,47.710,true,1000,0
no_value_cleanup,1000,3,8424,13092,13092,4668,4668,38.530,true,1000,0
no_value_cleanup,1000,4,8424,13076,13076,4652,4652,37.072,true,1000,0
no_value_cleanup,1000,5,8424,13100,13100,4676,4676,37.369,true,1000,0
no_value_cleanup,50000,1,8428,91892,42256,83464,33828,2796.731,true,50000,0
no_value_cleanup,50000,2,8428,92712,42148,84284,33720,2145.821,true,50000,0
no_value_cleanup,50000,3,8428,92436,42144,84008,33716,1677.764,true,50000,0
no_value_cleanup,50000,4,8424,92140,42116,83716,33692,1705.187,true,50000,0
no_value_cleanup,50000,5,8428,91620,42264,83192,33836,1850.849,true,50000,0
