1,"[0.04292913,0.80049640,0.18192358,0.23908350,0.79224973,0.30115561,0.27554406,0.24823999,0.84226780,0.69265460,0.74832196,0.78658868,0.13081424,0.05588695,0.77476956,0.99078601,0.59413819,0.37001571,0.85799858,0.28849335,0.60000130,0.99787893,0.50307373,0.73642636,0.10794380,0.00443322,0.32680411,0.86903068,0.77901775,0.92997663,0.84249790,0.68201599,0.89247611,0.59544661,0.56535030,0.38595698,0.48379727,0.48964557,0.23390928,0.28881174,0.46421165,0.33299529,0.04347290,0.74512700,0.38407087,0.91461583,0.75663781,0.64649340,0.15001230,0.46349126,0.33153245,0.73789867,0.28824755,0.04559143,0.56888978,0.68620257,0.84628959,0.51273972,0.86555377,0.36685311,0.21598868,0.52008365,0.29426338,0.33719151,0.13768691,0.31960948,0.55869199,0.35094072,0.65209533,0.92763839,0.17587738,0.01814418,0.71079778,0.45911874,0.24570642,0.37651966,0.43240561,0.20717418,0.19795919,0.79209638,0.16211109,0.02010867,0.30860102,0.90860132,0.90647925,0.40955199,0.14597735,0.25392014,0.25835236,0.58515548,0.45418516,0.23320191,0.16317753,0.00567443,0.68768942,0.58016453,0.17561014,0.74095944,0.12691542,0.61071170,0.10035627,0.33426456,0.62307530,0.08728595,0.42028023,0.46375213,0.20887813,0.59294800,0.50756283,0.26419963,0.91069204,0.06070334,0.52419359,0.85572505,0.59362271,0.88186926,0.92745969,0.49634847,0.18255004,0.02883863,0.54157735,0.40713012,0.77398223,0.98996991,0.51005256,0.80431494,0.14150545,0.27919135]"
2,"[0.59879984,0.15749083,0.50843055,0.16052487,0.08816226,0.26403863,0.28218181,0.99297859,0.45209633,0.69780174,0.07432041,0.50672502,0.71389820,0.91185639,0.70395177,0.86606185,0.88616952,0.19476954,0.10336986,0.00984811,0.41939910,0.56537544,0.81929459,0.07764595,0.66280043,0.11698459,0.35018549,0.51336203,0.51903545,0.20672387,0.78688741,0.96249655,0.70345499,0.83036941,0.44108011,0.54143539,0.87569894,0.49877324,0.58605819,0.00633742,0.47008855,0.67896567,0.27191267,0.77947450,0.04367313,0.95436417,0.01506651,0.53925910,0.39498315,0.98860486,0.87047312,0.79793181,0.29427927,0.47682831,0.50566594,0.04724229,0.45437141,0.22835263,0.21832154,0.72837311,0.53268705,0.67419149,0.95338185,0.55218069,0.70967051,0.21810006,0.37862393,0.46678519,0.73082282,0.01300364,0.00598123,0.45807656,0.15587730,0.23019671,0.73692073,0.45081792,0.36267331,0.06662408,0.93268493,0.81885345,0.01362199,0.11699085,0.12683796,0.54623606,0.11161050,0.93090409,0.00854904,0.67134847,0.78833205,0.13851654,0.65187757,0.17091202,0.37763490,0.16452130,0.12701685,0.83047084,0.66083925,0.10191837,0.64335275,0.51905069,0.01782293,0.60388012,0.61021653,0.08030408,0.75926876,0.03118043,0.81065393,0.85432606,0.80868923,0.82375474,0.36301284,0.75799499,0.74659885,0.61707097,0.41500177,0.70928004,0.18610735,0.69177229,0.73901358,0.19338399,0.42173562,0.64005616,0.36842827,0.90111432,0.57530481,0.52868566,0.08086535,0.79053486]"
3,"[0.00863391,0.38725684,0.85404103,0.58486285,0.59786549,0.60384572,0.06192128,0.21779758,0.44799329,0.18491302,0.63572994,0.99840225,0.06502533,0.99770926,0.81656171,0.83018269,0.94717254,0.07400950,0.62024456,0.73185406,0.66275715,0.67130519,0.34265266,0.13098371,0.26949925,0.92137582,0.09228685,0.46992074,0.63444105,0.76145690,0.59192674,0.25276499,0.35468236,0.99803411,0.51708380,0.53490573,0.13878484,0.74900038,0.82930346,0.58857122,0.61975065,0.43040358,0.28472864,0.09341687,0.91717060,0.28018244,0.03817643,0.78477427,0.40184424,0.81684501,0.52612405,0.71223040,0.40400169,0.14301427,0.33639726,0.75813189,0.39818705,0.76661432,0.66772764,0.24303146,0.77171612,0.85258046,0.64311432,0.65174723,0.03900308,0.89304311,0.47790496,0.07576945,0.67961417,0.74153445,0.95933103,0.40732332,0.59223534,0.22796428,0.22636553,0.29138986,0.28909812,0.10565883,0.93584053,0.88301207,0.95702057,0.57726413,0.30911720,0.97187335,0.64317754,0.98582920,0.11681190,0.38631016,0.30768498,0.39997083,0.86989057,0.50433062,0.26578652,0.85771225,0.11047624,0.46515760,0.46319071,0.98027350,0.51517823,0.65396208,0.40296146,0.23226392,0.82083414,0.44058378,0.87098636,0.15571400,0.24912986,0.16629946,0.44648090,0.48465633,0.26942960,0.67127284,0.48811684,0.01423989,0.72646929,0.13046999,0.27348326,0.60987953,0.36801041,0.76619646,0.53280978,0.20053642,0.44356688,0.21528200,0.06786146,0.71097478,0.36272101,0.40172309]"
4,"[0.29476519,0.77266916,0.84843761,0.52805078,0.26958423,0.22891426,0.63623658,0.22847092,0.45643420,0.68279873,0.97418760,0.26328472,0.36894255,0.30478208,0.18779315,0.14481272,0.72207585,0.03119205,0.00306440,0.64624093,0.63206913,0.74888004,0.13518919,0.44287317,0.84284300,0.71273257,0.21706219,0.48284771,0.34055896,0.45103420,0.91619080,0.37938051,0.35965301,0.87483025,0.52879132,0.93175178,0.16401470,0.98484783,0.42543062,0.29641598,0.45212897,0.70125783,0.86755630,0.31403620,0.79869153,0.06812013,0.73939197,0.22750781,0.24174670,0.96821499,0.09868398,0.37216625,0.98204477,0.35005419,0.11624965,0.64905843,0.84959386,0.29315973,0.50844073,0.57630119,0.28727497,0.64999498,0.05171707,0.34648126,0.11914942,0.96758602,0.49563580,0.76521903,0.99413229,0.63036787,0.85883779,0.31527099,0.99806872,0.97225531,0.23553903,0.60448059,0.90926167,0.09705382,0.24186554,0.96394040,0.99513145,0.99819484,0.64443478,0.27650291,0.02538194,0.16057014,0.60344231,0.44628431,0.15901588,0.37607707,0.85892377,0.19948173,0.65051494,0.56670474,0.94608425,0.30573626,0.18056551,0.70935583,0.64110661,0.80512031,0.78996714,0.21539676,0.51181173,0.96393970,0.66519653,0.53275183,0.84678703,0.64547757,0.71359670,0.45298766,0.68049447,0.92224017,0.89045417,0.98913715,0.36130240,0.34334617,0.69339936,0.80964800,0.45870544,0.30829829,0.60145703,0.10989676,0.68619694,0.97347091,0.62346489,0.67518096,0.02166122,0.14080963]"
5,"[0.10839465,0.60402945,0.36924748,0.36337877,0.99374564,0.85258243,0.16785241,0.16592013,0.13817444,0.37371248,0.97819206,0.88745273,0.98450555,0.22637009,0.19030948,0.18543993,0.18363377,0.82806755,0.10456945,0.12995040,0.29051953,0.89396084,0.34024415,0.49925903,0.87533510,0.73425787,0.93373860,0.58425254,0.15095628,0.09703953,0.40277479,0.58333929,0.29269412,0.93379973,0.73891903,0.52888517,0.74428093,0.25609166,0.22003036,0.88522590,0.41797673,0.26476276,0.91023933,0.62383502,0.07682169,0.75731516,0.67955433,0.57000750,0.55914365,0.92044505,0.26379022,0.95718858,0.76683558,0.22554002,0.53383731,0.13529334,0.24518909,0.93138504,0.90485495,0.52831884,0.20349879,0.22515901,0.36596764,0.47436130,0.07838975,0.44763623,0.81101400,0.80475864,0.65734007,0.82519148,0.99111061,0.12928405,0.50299552,0.48118659,0.36863831,0.35314286,0.57951195,0.76982043,0.95525936,0.13889213,0.96695867,0.07152713,0.20147652,0.49199506,0.38595490,0.72619804,0.22545607,0.10079017,0.83504704,0.76878464,0.35303618,0.50399146,0.60102998,0.00380377,0.58714206,0.87983518,0.81363391,0.55255194,0.08143611,0.82571604,0.08180670,0.30183606,0.18706096,0.60503669,0.86979845,0.78003678,0.40387080,0.48069149,0.23800565,0.91755899,0.48756549,0.04670814,0.96715219,0.23094141,0.18812899,0.95496357,0.18050259,0.71433890,0.84963123,0.09481932,0.02620336,0.93105731,0.45937515,0.66287294,0.88803095,0.25399760,0.72835790,0.80674665]"
6,"[0.25438188,0.06539488,0.87015252,0.52749159,0.35268207,0.34379167,0.47307472,0.97606925,0.45725483,0.82589214,0.17903400,0.75854495,0.52836438,0.48362273,0.62251386,0.58947153,0.66099765,0.86247318,0.35446723,0.74042113,0.46661817,0.69207324,0.79286241,0.62790845,0.39669209,0.74972727,0.25371773,0.85474671,0.85854948,0.44569054,0.32552472,0.13915763,0.69170856,0.77314368,0.59885871,0.68066441,0.98249947,0.16955943,0.77459512,0.64439257,0.42442834,0.82829815,0.30898864,0.54699329,0.46455127,0.95211576,0.99882290,0.96597408,0.19691449,0.38504248,0.34000505,0.52050664,0.23484454,0.08447477,0.17929310,0.20549546,0.13655177,0.59592591,0.25879785,0.14682780,0.40082440,0.12918129,0.93592694,0.19030782,0.25570171,0.12585323,0.65334382,0.00602489,0.34981556,0.82288928,0.79895753,0.25621136,0.08210250,0.26113551,0.01967945,0.54804283,0.03166456,0.65417742,0.24364794,0.90464460,0.76711678,0.12158301,0.86200314,0.32862031,0.02069256,0.81355397,0.44146141,0.83815250,0.58787877,0.84159550,0.69634122,0.55488970,0.00057924,0.32610296,0.46525959,0.15696715,0.93010983,0.52896754,0.20963095,0.19212943,0.36168786,0.13628198,0.78067355,0.20510089,0.03339804,0.34238567,0.88937796,0.35392823,0.30604299,0.30486488,0.27083797,0.46775146,0.85279294,0.19279699,0.71330263,0.94814617,0.03261994,0.21191204,0.41740650,0.55395726,0.14988217,0.40867902,0.55550582,0.95632922,0.08550951,0.02143545,0.21174228,0.46744298]"
7,"[0.59329521,0.24663803,0.25266192,0.60247648,0.42536476,0.22432129,0.48053164,0.56263315,0.82376765,0.84344611,0.39148794,0.42315150,0.07732791,0.32097486,0.22561846,0.99273423,0.11431624,0.97631838,0.30493769,0.32562925,0.13918222,0.58064263,0.41879414,0.00667191,0.84826641,0.54460663,0.09949533,0.10007357,0.42617553,0.89143412,0.04840027,0.97850910,0.50747564,0.71710559,0.90923402,0.27092088,0.40720186,0.18787441,0.39297430,0.42637134,0.76875601,0.65813297,0.01206020,0.31810218,0.62296607,0.89380304,0.36155350,0.21434544,0.40714143,0.12044305,0.06858822,0.10120716,0.31311820,0.73052370,0.28447996,0.43436113,0.84303916,0.39854398,0.35487220,0.44038071,0.46181517,0.67355644,0.14099843,0.73429264,0.98092968,0.23359060,0.83606608,0.26142984,0.48575012,0.96628077,0.52891292,0.35267957,0.19612467,0.58761161,0.01076211,0.08808902,0.40906287,0.63468033,0.62741356,0.74172881,0.71804619,0.02298288,0.34861113,0.48779235,0.06843398,0.48722711,0.49389802,0.34216343,0.88676906,0.98626339,0.08633596,0.51251049,0.40394360,0.45234288,0.43085097,0.93832561,0.65543021,0.56466323,0.83558311,0.24278398,0.43065738,0.82363068,0.25000102,0.01875602,0.67688799,0.68894719,0.00704837,0.63001344,0.52381548,0.88536797,0.09971241,0.50685283,0.62729489,0.69588211,0.79708828,0.11020548,0.84072818,0.12520714,0.55956727,0.40260543,0.80114841,0.15601961,0.59639932,0.05821349,0.73176893,0.87276636,0.60705800,0.58798667]"
8,"[0.82157627,0.65764135,0.91907018,0.40481931,0.37109908,0.90001099,0.25268956,0.44881323,0.03642384,0.04718495,0.13527297,0.54433484,0.17901417,0.80642673,0.54815454,0.26619973,0.28918161,0.63779174,0.12558308,0.19401606,0.68124217,0.17513919,0.51730162,0.40406968,0.39033207,0.47666703,0.98917651,0.39311912,0.84546099,0.27631097,0.21463558,0.87006479,0.43472701,0.27030913,0.51309210,0.94374849,0.76737817,0.01737819,0.03613321,0.71302020,0.40196639,0.40901376,0.03902620,0.56284067,0.44820765,0.54791906,0.05477089,0.68206478,0.37794589,0.17503317,0.28523765,0.12596483,0.25117097,0.81073724,0.21334167,0.01448908,0.17050769,0.76690601,0.82511850,0.55688643,0.42965179,0.03670879,0.62469446,0.44626973,0.10391008,0.02297926,0.42779757,0.79889564,0.69890563,0.95159419,0.40040643,0.43682927,0.48401322,0.61928519,0.16361903,0.34263220,0.14905794,0.69721148,0.96341020,0.25259081,0.89038155,0.01596363,0.20997869,0.89121986,0.06635805,0.58365867,0.98772736,0.37805843,0.85472445,0.84389997,0.23701808,0.08247807,0.35878804,0.57342262,0.44348640,0.87821242,0.14852054,0.66161165,0.60535913,0.37273630,0.39011349,0.42624570,0.13926490,0.54123029,0.95024305,0.98926825,0.55210792,0.00031457,0.54823262,0.60300251,0.28506629,0.66301119,0.83804336,0.12328000,0.24924383,0.50041380,0.31115004,0.52449072,0.53897880,0.70948549,0.47639050,0.30150800,0.85839343,0.28804422,0.32475201,0.94944548,0.39571421,0.49962328]"
9,"[0.52260154,0.95039811,0.74929275,0.44819739,0.39979058,0.80019601,0.23702428,0.72103650,0.34032069,0.50393872,0.84656992,0.99562686,0.69283734,0.65624654,0.90883635,0.79921690,0.81517953,0.02515723,0.91637609,0.98273314,0.56639082,0.55411717,0.93217460,0.78689805,0.63079702,0.86781410,0.95029118,0.30907822,0.88249983,0.32598524,0.20419665,0.35271620,0.01432685,0.61968498,0.99242028,0.38253278,0.80877748,0.94804138,0.48927067,0.43951272,0.42877997,0.98088689,0.98120045,0.52943208,0.13243359,0.41749888,0.08050907,0.91855142,0.04183042,0.29107326,0.79148606,0.10263510,0.62712482,0.16610261,0.87558710,0.35197660,0.65348359,0.51187603,0.79991925,0.12467027,0.07411474,0.46982795,0.96945023,0.49205077,0.44244788,0.19173963,0.63993601,0.03972559,0.83992060,0.07694388,0.79797938,0.13829907,0.64223679,0.48880571,0.48443157,0.17726791,0.83351345,0.74234880,0.54156470,0.35674324,0.38189947,0.29827456,0.28100670,0.84739651,0.40151269,0.33368629,0.12058334,0.75137936,0.61919246,0.56948264,0.87855985,0.76105869,0.08704292,0.29123858,0.64395378,0.65827962,0.27796360,0.27038289,0.65291466,0.46169114,0.40973152,0.89900120,0.33851292,0.76729189,0.74817778,0.72937723,0.25880831,0.39124089,0.80873878,0.88924684,0.80779726,0.84962669,0.14069894,0.93218400,0.03481810,0.66194192,0.82804353,0.70362963,0.05560522,0.70908782,0.22096285,0.02088110,0.14555036,0.21966410,0.68949105,0.65894028,0.15099005,0.59343692]"
10,"[0.78517555,0.42511056,0.46483516,0.30475476,0.38169764,0.17967602,0.31797409,0.96020988,0.44901459,0.93344517,0.11071208,0.94422453,0.68657233,0.22813604,0.58487828,0.96677674,0.26505030,0.54605599,0.39345151,0.79496319,0.12864848,0.24923082,0.00060918,0.61980064,0.18928228,0.06784113,0.82889881,0.91594074,0.20717831,0.85113109,0.50940971,0.78737231,0.05775420,0.71066786,0.17235800,0.58208853,0.48108872,0.81960064,0.58689153,0.33506830,0.06444453,0.32325184,0.71449173,0.52322951,0.41247535,0.22027161,0.06989730,0.21059524,0.14277824,0.17759534,0.83953626,0.66757879,0.37120742,0.42681164,0.13589846,0.35686031,0.37774041,0.52328977,0.74295287,0.43244292,0.09138220,0.24237125,0.83580717,0.62098172,0.04609128,0.51092544,0.81567920,0.19737583,0.37705085,0.69502393,0.65523281,0.10424640,0.03769057,0.14840164,0.09262517,0.77919651,0.00733154,0.59220882,0.55898456,0.82403386,0.37008885,0.76353936,0.55850155,0.68714903,0.93637885,0.93698703,0.55678667,0.74606794,0.81390807,0.64280589,0.55874562,0.76592293,0.61705302,0.12646173,0.91383304,0.97158624,0.68225311,0.85461011,0.43669763,0.91778536,0.73738500,0.32427552,0.65934283,0.72378636,0.04703720,0.76152793,0.28475643,0.69723078,0.91750139,0.98739769,0.19799193,0.34076917,0.51836351,0.35789877,0.02547656,0.39668299,0.82349363,0.95939109,0.31625040,0.69398981,0.21727858,0.96023045,0.39267238,0.48405358,0.72642382,0.56222999,0.18321072,0.22930100]"
