variant,rep,library_sha256,execution_time_ms,temp_read_blocks,temp_written_blocks,index_loops
scalar,1,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,21254.650,69000,69400,200
vectorized,1,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,17434.792,69000,69400,200
vectorized,2,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,17599.568,69000,69400,200
scalar,2,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,21226.113,69000,69400,200
scalar,3,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,21275.240,69000,69400,200
vectorized,3,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,12729.472,69000,69400,200
vectorized,4,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,17583.944,69000,69400,200
scalar,4,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,17101.886,69000,69400,200
scalar,5,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,17118.749,69000,69400,200
vectorized,5,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,12681.032,69000,69400,200
