variant,rep,execution_time_ms,temp_read_blocks,temp_written_blocks,index_loops
inherit_work_mem,1,16879.173,69000,69400,200
query_work_mem_64mb,1,17264.326,0,0,200
query_work_mem_64mb,2,20006.696,0,0,200
inherit_work_mem,2,21375.681,69000,69400,200
inherit_work_mem,3,21476.247,69000,69400,200
query_work_mem_64mb,3,19936.453,0,0,200
query_work_mem_64mb,4,19848.300,0,0,200
inherit_work_mem,4,21439.160,69000,69400,200
inherit_work_mem,5,21329.805,69000,69400,200
query_work_mem_64mb,5,19873.831,0,0,200
