variant,rep,library_sha256,execution_time_ms,temp_read_blocks,temp_written_blocks,index_loops
scalar,1,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,21523.297,69000,69400,200
vectorized,1,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,16592.661,69000,69400,200
vectorized,2,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,17018.814,69000,69400,200
scalar,2,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,21286.304,69000,69400,200
scalar,3,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,21288.003,69000,69400,200
vectorized,3,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,17341.879,69000,69400,200
vectorized,4,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,17474.843,69000,69400,200
scalar,4,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,19776.652,69000,69400,200
scalar,5,0a83133b5dc6ba732f06eaf33da841f27b030086f720416972b3da9f6c62fb77,17432.626,69000,69400,200
vectorized,5,c1fb401096b457ab2485c294da98fc803eed6097225b7d3c8ef44d8cd92e0c7d,14336.769,69000,69400,200
